분류,주성분코드,제품수,업체수,예시제품,주성분명
218,157702ACR,1,1,글리펜서방캅셀(페노피브레이트펠렛)_(0.33764g/1캡슐),fenofibrate pellet (as fenofibrate)
218,157704ATB,3,3,페노웰정145밀리그램(페노피브레이트)_(0.145g/1정),fenofibrate(micronized)
218,157706ATB,1,1,네오페노정48밀리그램(페노피브레이트)_(48mg/1정),
218,162403ATR,1,1,레스콜엑스엘서방정(플루바스타틴나트륨)_(84.24mg/1정),fluvastatin
218,185801ATB,1,1,로바타딘정(로바스타틴)(수출명:LovacTablet)_(20mg/1정),
218,194901ACH,8,8,페노피딜캡슐(미세화페노피브레이트구형과립)_(0.2g/1캡슐),fenofibrate granule(micronized) (as fenofibrate)
218,194902ACH,1,1,로피롤에스캡슐130mg(미세화페노피브레이트구형과립)_(0.13g/1캡슐),fenofibrate granule(micronized) (as fenofibrate)
218,194930ACH,1,1,리필펜캡슐160밀리그램(미세화페노피브레이트)_(0.16g/1캡슐),fenofibrate(micronized)
218,194930ATB,14,14,티지프리정(페노피브레이트)_(0.16g/1정),fenofibrate(micronized)
218,216601ATB,2,2,프라스탄정10밀리그람(프라바스타틴나트륨)_(10mg/1정),pravastatin sodium
218,216602ATB,1,1,메바로친정5밀리그램(프라바스타틴나트륨)_(5mg/1정),pravastatin sodium
218,216603ATB,2,2,프라스탄정20밀리그람(프라바스타틴나트륨)_(20mg/1정),pravastatin sodium
218,216604ATB,2,2,프라스탄정40밀리그람(프라바스타틴나트륨)_(40mg/1정),pravastatin sodium
218,227801ATB,49,49,엔티심바정20밀리그램(심바스타틴)_(20mg/1정),simvastatin
218,227802ATB,8,8,심바로드정40밀리그램(심바스타틴)_(40mg/1정),simvastatin
218,227806ATB,1,1,유니심바정5밀리그램(심바스타틴)_(5mg/1정),simvastatin
218,454001ATB,122,122,로바가정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정),rosuvastatin calcium (as rosuvastatin)
218,454001ATD,1,1,수바로오디정10밀리그램(로수바스타틴칼슘(미분화))_(10.4mg/1정),rosuvastatin calcium (as rosuvastatin)
218,454002ATB,92,92,로바가정20밀리그램(로수바스타틴칼슘)_(20.8mg/1정),rosuvastatin calcium (as rosuvastatin)
218,454002ATD,1,1,수바로오디정20밀리그램(로수바스타틴칼슘(미분화))_(20.8mg/1정),rosuvastatin calcium (as rosuvastatin)
218,454003ATB,103,103,로수바엠정5밀리그램(로수바스타틴칼슘)_(5.2mg/1정),rosuvastatin calcium (as rosuvastatin)
218,454003ATD,1,1,수바로오디정5밀리그램(로수바스타틴칼슘(미분화))_(5.2mg/1정),rosuvastatin calcium (as rosuvastatin)
218,454005ATB,10,10,크라틴정2.5밀리그램(로수바스타틴칼슘(미분화))_(2.6mg/1정),rosuvastatin calcium (as rosuvastatin)
218,462201ATB,18,18,에리티브정10밀리그램(에제티미브)_(10mg/1정),ezetimibe
218,470901ATB,43,43,리바피타정2밀리그램(피타바스타틴칼슘)_(2mg/1정),pitavastatin calcium
218,470902ATB,13,13,리피타파정1밀리그램(피타바스타틴칼슘)_(1mg/1정),pitavastatin calcium
218,470903ATB,21,21,로바로우정4밀리그램(피타바스타틴칼슘)_(4mg/1정),pitavastatin calcium
218,471000ATB,25,25,이지심바정10/10밀리그램_(1정),ezetimibe
218,471000ATB,25,25,이지심바정10/10밀리그램_(1정),simvastatin
218,471100ATB,27,27,이지심바정10/20밀리그램_(1정),ezetimibe
218,471100ATB,27,27,이지심바정10/20밀리그램_(1정),simvastatin
218,492501ATB,1,1,프리그렐정(클로피도그렐레지네이트)_(0.15g/1정),clopidogrel resinate (as clopidogrel)
218,495201ATB,1,1,클로비드정(클로피도그렐베실산염)_(0.11186g/1정),clopidogrel besylate (as clopidogrel)
218,498801ATB,1,1,피도글정75밀리그램(클로피도그렐나파디실레이트일수화물)_(0.11069g/1정),clopidogrel napadisilate monohydrate (as clopidogrel)
218,498900ATB,1,1,유크리드정250/80밀리그램_(1정),ginkgo biloba leaf ext.
218,498900ATB,1,1,유크리드정250/80밀리그램_(1정),ticlopidine hydrochloride
218,501501ATB,1,1,비알빅스정(클로피도그렐캄실산염)_(0.12914g/1정),clopidogrel camsylate (as clopidogrel)
218,502201ATB,1,1,뉴바스트정10밀리그램(아토르바스타틴스트론튬오수화물)_(11.595mg/1정),atorvastatin strontium pentahydrate (as atorvastatin)
218,502202ATB,1,1,뉴바스트정20밀리그램(아토르바스타틴스트론튬오수화물)_(23.19mg/1정),atorvastatin strontium pentahydrate (as atorvastatin)
218,502203ATB,1,1,뉴바스트정40밀리그램(아토르바스타틴스트론튬오수화물)_(46.38mg/1정),atorvastatin strontium pentahydrate (as atorvastatin)
218,502204ATB,1,1,뉴바스트정80밀리그램(아토르바스타틴스트론튬오수화물)_(92.76mg/1정),atorvastatin strontium pentahydrate (as atorvastatin)
218,507800ATB,1,1,바이토린정10/40_(1정),ezetimibe
218,507800ATB,1,1,바이토린정10/40_(1정),simvastatin
218,517900ACE,14,14,클로본스에이캡슐_(1캡슐),aspirin
218,517900ACE,14,14,클로본스에이캡슐_(1캡슐),clopidogrel bisulfate (as clopidogrel)
218,517900ATE,1,1,플라빅스에이정_(1정),aspirin
218,517900ATE,1,1,플라빅스에이정_(1정),clopidogrel bisulfate (as clopidogrel)
218,519300ACH,1,1,프라바페닉스캡슐_(1캡슐),fenofibrate
218,519300ACH,1,1,프라바페닉스캡슐_(1캡슐),pravastatin sodium
218,520301ACH,1,1,페노시드캡슐(페노피브릭산)_(0.135g/1캡슐),fenofibric acid
218,520302ATE,3,3,페노릭스EH정(페노피브릭산)_(0.11g/1정),fenofibric acid
218,597301ATB,1,1,에피언트정5밀리그램(프라수그렐염산염)_(5.49mg/1정),prasugrel hydrochloride (as prasugrel)
218,597302ATB,1,1,에피언트정10밀리그램(프라수그렐염산염)_(10.98mg/1정),prasugrel hydrochloride (as prasugrel)
218,615901ATB,9,9,휴로린타정90mg(티카그렐러)_(90mg/1정),ticagrelor
218,615902ATB,7,7,휴로린타정60mg(티카그렐러)_(60mg/1정),ticagrelor
218,633800ATB,96,96,리피티젯정10/10밀리그램_(1정),atorvastatin calcium(as atorvastatin)
218,633800ATB,96,96,리피티젯정10/10밀리그램_(1정),ezetimibe
218,633900ATB,97,97,리피티젯정10/20밀리그램_(1정),atorvastatin calcium(as atorvastatin)
218,633900ATB,97,97,리피티젯정10/20밀리그램_(1정),ezetimibe
218,634600ATB,1,1,아토젯정10/80밀리그램_(1정),atorvastatin calcium(as atorvastatin)
218,634600ATB,1,1,아토젯정10/80밀리그램_(1정),ezetimibe
218,634800ATB,66,66,한토젯정10/40밀리그램_(1정),atorvastatin calcium(as atorvastatin)
218,634800ATB,66,66,한토젯정10/40밀리그램_(1정),ezetimibe
218,640700ATB,50,50,듀오논정10/5밀리그램_(1정),ezetimibe
218,640700ATB,50,50,듀오논정10/5밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)  
218,640800ATB,50,50,로티브정10/10밀리그램_(1정),ezetimibe
218,640800ATB,50,50,로티브정10/10밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)  
218,640900ATB,48,48,로티젯정10/20밀리그램_(1정),ezetimibe
218,640900ATB,48,48,로티젯정10/20밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)  
218,642301ACR,1,1,페노코린캡슐(페노피브레이트콜린)_(0.1788g/1캡슐),choline fenofibrate (as fenofibric acid)
218,642301ATR,1,1,티지페논정(페노피브레이트콜린)_(178.8mg/1정),choline fenofibrate (as fenofibric acid)
218,659501BIJ,1,1,레파타주프리필드펜(에볼로쿠맙)_(0.14g/1mL),evolocumab
218,663400ACS,13,13,로수메가연질캡슐_(1캡슐),"omega-3-acid ethyl esters90 (as EPA ethylester   0.46g, DHA ethylester   0.38g, α-tocopherol   4mg)"
218,663400ACS,13,13,로수메가연질캡슐_(1캡슐),rosuvastatin calcium (as rosuvastatin)
218,667500ACE,3,3,클라스핀캡슐75/75밀리그램_(1캡슐),aspirin
218,667500ACE,3,3,클라스핀캡슐75/75밀리그램_(1캡슐),clopidogrel bisulfate (as clopidogrel)
218,674701BIJ,1,1,프랄런트펜주150mg(알리로쿠맙)_(0.15g/mL),alirocumab
218,674702BIJ,1,1,프랄런트펜주75mg(알리로쿠맙)_(75mg/mL),alirocumab
218,674703BIJ,1,1,프랄런트펜주300mg(알리로쿠맙)_(0.3g/2mL),
218,679300ACH,12,12,"피바펜캡슐(피타바스타틴칼슘, 페노피브레이트)_(1캡슐)",fenofibrate granule(micronized) (as fenofibrate)
218,679300ACH,12,12,"피바펜캡슐(피타바스타틴칼슘, 페노피브레이트)_(1캡슐)",pitavastatin calcium
218,679300ATB,4,4,"피타로우에프정2/160밀리그램(피타바스타틴,페노피브레이트)_(1정)",
218,679401ACS,17,17,오마티지미니연질캡슐2그램(오메가-3-산에틸에스테르90)_(2g/80캡슐),"omega-3-acid ethyl esters90 (as EPA ethylester   0.92g, DHA ethylester   0.76g)"
218,679402ACS,29,29,웰마코연질캡슐(오메가-3-산에틸에스테르90)_(1g/1캡슐),"omega-3-acid ethyl esters90 (as EPA ethylester   0.46g, DHA ethylester   0.38g)"
218,679403ACS,4,4,뉴마코에스연질캡슐500밀리그램(오메가-3-산에틸에스테르90)_(0.5g/1캡슐),"omega-3-acid ethyl esters90 (as EPA ethylester   0.23g, DHA ethylester   0.19g)"
218,694000ACS,1,1,아트맥콤비젤연질캡슐_(1캡슐),atorvastatin calcium (as atorvastatin)
218,694000ACS,1,1,아트맥콤비젤연질캡슐_(1캡슐),"omega-3-acid ethyl esters90 (as EPA ethylester   0.46g, DHA ethylester   0.38g)"
218,699400ATB,6,6,"스타젯정2/10밀리그램(피타바스타틴칼슘, 에제티미브)_(1정)",ezetimibe
218,699400ATB,6,6,"스타젯정2/10밀리그램(피타바스타틴칼슘, 에제티미브)_(1정)",pitavastatin calcium
218,699500ATB,6,6,"스타젯정4/10밀리그램(피타바스타틴칼슘, 에제티미브)_(1정)",ezetimibe
218,699500ATB,6,6,"스타젯정4/10밀리그램(피타바스타틴칼슘, 에제티미브)_(1정)",pitavastatin calcium
218,701100ATB,9,9,로바젯정10/2.5밀리그램_(1정),ezetimibe
218,701100ATB,9,9,로바젯정10/2.5밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
218,702800ATB,3,3,페노제티브정_(1정),ezetimibe
218,702800ATB,3,3,페노제티브정_(1정),fenofibrate
218,711200ACS,5,5,아토메가연질캡슐5/1000mg_(1캡슐),atorvastatin calcium (as atorvastatin)
218,711200ACS,5,5,아토메가연질캡슐5/1000mg_(1캡슐),"omega-3-acid ethyl esters90 (as EPA ethylester   0.46g, DHA ethylester   0.38g)"
218,721300ATB,6,6,"엘오공정10/5밀리그램(에제티미브, 아토르바스타틴)_(1정)",atorvastatin calcium (as atorvastatin)
218,721300ATB,6,6,"엘오공정10/5밀리그램(에제티미브, 아토르바스타틴)_(1정)",ezetimibe
218,734000ACS,1,1,"로수맥콤비젤연질캡슐10/1000밀리그램(로수바스타틴,오메가3산에틸에스테르90)_(1캡슐)","omega-3-acid ethyl esters90 (as EPA ethylester   0.46g, DHA ethylester   0.38g)"
218,734000ACS,1,1,"로수맥콤비젤연질캡슐10/1000밀리그램(로수바스타틴,오메가3산에틸에스테르90)_(1캡슐)",rosuvastatin calcium (as rosuvastatin)
218,742400ACE,2,2,"피타릭캡슐(피타바스타틴칼슘, 페노피브릭산)_(1캡슐)",
219,100430BIJ,1,1,클로티냅주(압식시맙)_(5mg/2.5mL),abciximab
219,100431BIJ,1,1,클로티냅주(압식시맙)_(10mg/5mL),abciximab
219,103030BIJ,1,1,아데노코주사(아데노신)_(6mg/2mL),adenosine
219,103031BIJ,1,1,데노신주사(아데노신)_(90mg/30mL),adenosine
219,105630BIJ,2,2,에글란딘주(알프로스타딜)_(5μg/1mL),alprostadil
219,105631BIJ,2,2,에글란딘주(알프로스타딜)_(10㎍/2mL),alprostadil
219,105701BIJ,1,1,알푸로덱스주20마이크로그램(알프로스타딜알파덱스)_(0.6667mg/1앰플),alprostadil α-cyclodextrin
219,111001ACE,1,1,보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립)_(0.1g/1캡슐),aspirin(enteric coated) (as aspirin)
219,111001ATE,44,44,영진아스피린장용정_(0.1g/1정),aspirin(enteric coated) (as aspirin)
219,117901ATB,1,1,콩브럭정10밀리그램(비소프롤롤푸마르산염)_(10mg/1정),bisoprolol fumarate
219,117902ATB,8,8,베타프롤정(비소프롤롤푸마르산염)_(5mg/1정),bisoprolol fumarate
219,121701ATB,2,2,포슬로정(초산칼슘)_(0.71g/1정),calcium acetate
219,124503ATB,1,1,엘칸정330밀리그램(엘-카르니틴)_(0.33g/1정),L-carnitine
219,124530BIJ,1,1,엘칸주사1그램(엘-카르니틴)_(1g/5mL),L-carnitine
219,124531ALQ,1,1,엘칸액(엘-카르니틴)_(30g/100mL),L-carnitine
219,124535ALQ,1,1,엠로딘액(L-카르니틴)_(0.9g/3mL),L-carnitine
219,124536ALQ,1,1,엠로딘액(L-카르니틴)_(1.5g/5mL),L-carnitine
219,124537ALQ,1,1,큐에르액(L-카르니틴)_(1.8g/6mL),
219,134631BIJ,4,4,"참시티콜린주(시티콜린)(수출명: 유시틸주, 참시틸주)_(0.5g/2mL)",citicoline
219,148101ATB,19,19,도비안정(도베실산칼슘수화물)_(0.25g/1정),dobesilate calcium
219,148103ATB,22,22,도비안에스정500밀리그램(도베실산칼슘수화물)_(0.5g/1정),dobesilate calcium
219,148731BIJ,5,5,트로핀주사200밀리그람(염산도파민)_(0.2g/5mL),dopamine hydrochloride
219,148732BIJ,1,1,트로핀주사400밀리그람(염산도파민)_(0.4g/5mL),dopamine hydrochloride
219,165301ATB,7,7,행코민정(은행엽엑스)_(0.12g/1정),ginkgo biloba leaf ext.
219,165303ATB,21,21,진맥톤정(은행엽엑스)_(40mg/1정),ginkgo biloba leaf ext.
219,165305ATB,43,43,한미징코정80밀리그램(은행엽건조엑스)_(80mg/1정),ginkgo biloba leaf ext.
219,165310ATB,1,1,징코필정240밀리그램(은행엽건조엑스)_(0.24g/1정),ginkgo biloba leaf ext.
219,172701ACR,1,1,케타스캅셀10밀리그람(이부딜라스트)_(10mg/1캡슐),ibudilast
219,172830BIJ,1,1,페데아주(이부프로펜)_(10mg/2mL),ibuprofen
219,173201ATB,1,1,페로딜정(이펜프로딜타르타르산염)_(20mg/1정),ifenprodil tartrate
219,179303ATE,43,43,카나쿨린정(칼리디노게나제)_(50I.U/1정),kallidinogenase
219,184101ATB,70,70,리마스트정(리마프로스트알파덱스)_(0.16667mg/1정),limaprost α-cyclodextrin (as limaprost)
219,193802ATB,1,1,베타록정(메토프롤롤타르타르산염)_(0.1g/1정),metoprolol tartrate
219,195730BIJ,1,1,프리마코주(밀리논)_(10mg/10mL),milrinone
219,198301ATB,1,1,나도가드정40밀리그램(나도롤)_(40mg/1정),nadolol
219,201201ATB,16,16,제니세르정10밀리그램(니세르골린)_(10mg/1정),nicergoline
219,201203ATB,38,38,니세르정30밀리그램(니세르골린)_(30mg/1정),nicergoline
219,201204ATB,1,1,사미온정(니세르골린)_(5mg/1정),nicergoline
219,210802ATR,2,2,씨엠지펜톡시필린서방정400mg(펜톡시필린)_(0.4g/1정),pentoxifylline
219,215402ACM,1,1,아가메이트젤리(폴리스티렌설폰산칼슘)_(5g/25g),polystyrene sulfonate calcium
219,215402AGN,4,4,카슈트과립(폴리스티렌설폰산칼슘)_(5g/5g),polystyrene sulfonate calcium
219,215402APD,2,2,카슈트산(폴리스티렌설폰산칼슘)_(5g/5g),polystyrene sulfonate calcium
219,215430ASS,9,9,로포타현탁액(폴리스티렌설폰산칼슘)_(5g/20mL),polystyrene sulfonate calcium
219,215432ASS,1,1,카리메트현탁액(폴리스티렌설폰산칼슘)_(5g/25g),polystyrene sulfonate calcium
219,220630BIJ,2,2,쎄레닐주(프로티렐린타르타르산염수화물)_(0.732mg/1mL),protirelin tartrate (as protirelin)
219,223501BIJ,1,1,액티라제주사20밀리그램(알-티피에이)_(20mg/1병),recombinant human tissue-type plasminogen activator
219,223502BIJ,1,1,액티라제주사50밀리그램(알-티피에이)_(50mg/1병),recombinant human tissue-type plasminogen activator
219,240230BIJ,1,1,아그라스타트주(티로피반염산염수화물)_(14.05mg/50mL),tirofiban hydrochloride monohydrate (as tirofiban)
219,244101ACH,5,5,트리살캡슐(트리플루살)_(0.3g/1캡슐),triflusal
219,244102ACH,1,1,명인디스그렌캡슐150밀리그람(트리플루살)_(0.15g/1캡슐),triflusal
219,248901ATB,1,1,엔테론정50밀리그람(포도씨건조엑스)_(50mg/1정),vitis vinifera ext.
219,248902ATB,1,1,엔테론정150밀리그람(포도씨건조엑스)_(0.15g/1정),vitis vinifera ext.
219,359632BIJ,1,1,아가론주(아가트로반)_(10mg/20mL),argatroban
219,359633BIJ,1,1,노바스탄하이주10mg/2mL(아가트로반수화물)_(10mg/2mL),argatroban
219,389400BIJ,1,1,이노엔염산도파민프리믹스160mg주_(500mL),dextrose
219,389400BIJ,1,1,이노엔염산도파민프리믹스160mg주_(500mL),dopamine hydrochloride
219,389500BIJ,1,1,이노엔염산도파민프리믹스320mg주_(250mL),dextrose
219,389500BIJ,1,1,이노엔염산도파민프리믹스320mg주_(250mL),dopamine hydrochloride
219,389700BIJ,1,1,이노엔염산도파민프리믹스80mg주_(500mL),dextrose
219,389700BIJ,1,1,이노엔염산도파민프리믹스80mg주_(500mL),dopamine hydrochloride
219,423930BIJ,1,1,우리스틴주(유리나스타틴)_(50000unit/1mL),ulinastatin
219,423931BIJ,1,1,우리스틴주(유리나스타틴)_(100000unit/2mL),ulinastatin
219,429500BIJ,1,1,이노엔도파믹스주200_(200mL),dextrose
219,429500BIJ,1,1,이노엔도파믹스주200_(200mL),dopamine hydrochloride
219,441430BIJ,1,1,펜톨민주사(펜토라민메실레이트)_(10mg/1mL),phentolamine mesylate
219,461601ATB,1,1,소마지나정500밀리그램(시티콜린나트륨)_(0.5225g/1정),citicoline sodium (as citicoline)
219,472300ATB,31,31,암로듀엣정5/10mg_(1정),amlodipine besylate (as amlodipine)
219,472300ATB,31,31,암로듀엣정5/10mg_(1정),atorvastatin calcium (as atorvastatin)
219,472400ATB,11,11,암로듀엣정5/20mg_(1정),amlodipine besylate (as amlodipine)
219,472400ATB,11,11,암로듀엣정5/20mg_(1정),atorvastatin calcium (as atorvastatin)
219,472500ATB,1,1,카듀엣정5mg/40mg_(1정),amlodipine besylate (as amlodipine)
219,472500ATB,1,1,카듀엣정5mg/40mg_(1정),atorvastatin calcium (as atorvastatin)
219,489700ACR,2,2,아디녹스캡슐_(0.707g/1캡슐),aspirin
219,489700ACR,2,2,아디녹스캡슐_(0.707g/1캡슐),dipyridamole
219,495401ACH,22,22,비티엘라캡슐(포도엽엑스)_(0.18g/1캡슐),vitis vinifera leaf ext.
219,517701APD,1,1,렌벨라산0.8그램(세벨라머탄산염)_(0.8g/1포),sevelamer carbonate
219,517701ATB,10,10,벨라비엠정(세벨라머탄산염)_(0.8g/1정),sevelamer carbonate
219,517702ATB,1,1,휴세탄정(세벨라머탄산염)_(0.4g/1정),
219,518900ATB,1,1,카듀엣정10/20밀리그램_(1정),amlodipine besylate (as amlodipine)
219,518900ATB,1,1,카듀엣정10/20밀리그램_(1정),atorvastatin calcium (as atorvastatin)
219,524000ATB,1,1,"로벨리토정150/10밀리그램(이르베사르탄,아토르바스타틴)_(1정)",atorvastatin calcium (as atorvastatin)
219,524000ATB,1,1,"로벨리토정150/10밀리그램(이르베사르탄,아토르바스타틴)_(1정)",irbesartan
219,524100ATB,1,1,"로벨리토정150/20밀리그램(이르베사르탄,아토르바스타틴)_(1정)",atorvastatin calcium (as atorvastatin)
219,524100ATB,1,1,"로벨리토정150/20밀리그램(이르베사르탄,아토르바스타틴)_(1정)",irbesartan
219,525000ATB,6,6,로바하이정10/80밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,525000ATB,6,6,로바하이정10/80밀리그램_(1정),valsartan
219,525100ATB,6,6,로바하이정10/160밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,525100ATB,6,6,로바하이정10/160밀리그램_(1정),valsartan
219,525200ATB,5,5,로바하이정20/80밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,525200ATB,5,5,로바하이정20/80밀리그램_(1정),valsartan
219,525300ATB,4,4,발사로브정20/160밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,525300ATB,4,4,발사로브정20/160밀리그램_(1정),valsartan
219,526300ATB,6,6,올바스타정20/10밀리그램_(1정),olmesartan medoxomil
219,526300ATB,6,6,올바스타정20/10밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,526400ATB,5,5,젤로스타정20/20밀리그램_(1정),olmesartan medoxomil
219,526400ATB,5,5,젤로스타정20/20밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,526500ATB,1,1,올로스타정40/20밀리그램_(1정),olmesartan medoxomil
219,526500ATB,1,1,올로스타정40/20밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,526900ATB,5,5,젤로스타정20/5밀리그램_(1정),olmesartan medoxomil
219,526900ATB,5,5,젤로스타정20/5밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,527000ATB,1,1,"로벨리토정300/20밀리그램(이르베사르탄,아토르바스타틴)_(1정)",atorvastatin calcium (as atorvastatin)
219,527000ATB,1,1,"로벨리토정300/20밀리그램(이르베사르탄,아토르바스타틴)_(1정)",irbesartan
219,527100ATB,1,1,"로벨리토정300/10밀리그램(이르베사르탄,아토르바스타틴)_(1정)",atorvastatin calcium (as atorvastatin)
219,527100ATB,1,1,"로벨리토정300/10밀리그램(이르베사르탄,아토르바스타틴)_(1정)",irbesartan
219,550401ATB,1,1,프로코라란정5밀리그램(이바브라딘염산염)_(5.39mg/1정),ivabradine hydrochloride (as ivabradine)
219,550402ATB,1,1,프로코라란정7.5밀리그램(이바브라딘염산염)_(8.085mg/1정),ivabradine hydrochloride (as ivabradine)
219,616501ATB,1,1,삼스카정15밀리그램(톨밥탄분무건조분말)_(15mg/1정),tolvaptan SD powder (as tolvaptan)
219,616502ATB,1,1,삼스카정30밀리그램(톨밥탄분무건조분말)_(30mg/1정),tolvaptan SD powder (as tolvaptan)
219,616503ATB,2,2,톨비스정15밀리그램(톨밥탄)_(15mg/1정),tolvaptan
219,616504ATB,2,2,톨비스정30밀리그램(톨밥탄)_(30mg/1정),tolvaptan
219,627901BIJ,1,1,피라지르프리필드시린지(이카티반트아세테이트)_(31.41mg/3mL),icatibant acetate (as icatibant)
219,629700ATB,6,6,로바하이정5/80밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,629700ATB,6,6,로바하이정5/80밀리그램_(1정),valsartan
219,629800ATB,1,1,로바티탄정5/160밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,629800ATB,1,1,로바티탄정5/160밀리그램_(1정),valsartan
219,629900ATB,15,15,듀로텔정40/10밀리그램_(1정),rosuvastatin calcium(as rosuvastatin)
219,629900ATB,15,15,듀로텔정40/10밀리그램_(1정),telmisartan
219,630000ATB,5,5,듀오텔미정40/20밀리그램_(1정),rosuvastatin calcium(as rosuvastatin)
219,630000ATB,5,5,듀오텔미정40/20밀리그램_(1정),telmisartan
219,630100ATB,15,15,듀로텔정80/10밀리그램_(1정),rosuvastatin calcium(as rosuvastatin)
219,630100ATB,15,15,듀로텔정80/10밀리그램_(1정),telmisartan
219,630200ATB,6,6,듀오텔미정80/20밀리그램_(1정),rosuvastatin calcium(as rosuvastatin)
219,630200ATB,6,6,듀오텔미정80/20밀리그램_(1정),telmisartan
219,631600ATB,15,15,듀로텔정40/5밀리그램_(1정),rosuvastatin calcium(as rosuvastatin)   
219,631600ATB,15,15,듀로텔정40/5밀리그램_(1정),telmisartan  
219,631700ATB,10,10,로미텔정80/5밀리그램_(1정),rosuvastatin calcium(as rosuvastatin)   
219,631700ATB,10,10,로미텔정80/5밀리그램_(1정),telmisartan  
219,634900ATB,1,1,리바로브이정2/160밀리그램_(1정),pitavastatin calcium
219,634900ATB,1,1,리바로브이정2/160밀리그램_(1정),valsartan
219,635000ATB,1,1,리바로브이정2/80밀리그램_(1정),pitavastatin calcium
219,635000ATB,1,1,리바로브이정2/80밀리그램_(1정),valsartan
219,635100ATB,1,1,리바로브이정4/160밀리그램_(1정),pitavastatin calcium
219,635100ATB,1,1,리바로브이정4/160밀리그램_(1정),valsartan
219,635200ATB,1,1,리바로브이정4/80밀리그램_(1정),pitavastatin calcium
219,635200ATB,1,1,리바로브이정4/80밀리그램_(1정),valsartan
219,644100ATB,1,1,올로스타정10/10밀리그램_(1정),olmesartan medoxomil
219,644100ATB,1,1,올로스타정10/10밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,644200ATB,1,1,올로스타정10/5밀리그램_(1정),olmesartan medoxomil
219,644200ATB,1,1,올로스타정10/5밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,651401ATB,1,1,엔트레스토필름코팅정100밀리그램(사쿠비트릴·발사르탄나트륨염수화물)_(0.113103g/1정),sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)
219,651402ATB,1,1,엔트레스토필름코팅정200밀리그램(사쿠비트릴·발사르탄나트륨염수화물)_(0.226206g/1정),sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)
219,651403ATB,1,1,엔트레스토필름코팅정50밀리그램(사쿠비트릴·발사르탄나트륨염수화물)_(56.551mg/1정),sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)
219,653200ATB,1,1,올로스타정40/10밀리그램_(1정),olmesartan medoxomil
219,653200ATB,1,1,올로스타정40/10밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)   
219,654700ATB,1,1,투베로정60/10밀리그램_(1정),fimasartan potassium trihydrate (as fimasartan potassium)
219,654700ATB,1,1,투베로정60/10밀리그램_(1정),rosuvastatin calcium (as rosuvastatin) 
219,654800ATB,1,1,투베로정60/5밀리그램_(1정),fimasartan potassium trihydrate (as fimasartan potassium)
219,654800ATB,1,1,투베로정60/5밀리그램_(1정),rosuvastatin calcium (as rosuvastatin) 
219,654900ATB,1,1,투베로정30/10밀리그램_(1정),fimasartan potassium trihydrate (as fimasartan potassium)
219,654900ATB,1,1,투베로정30/10밀리그램_(1정),rosuvastatin calcium (as rosuvastatin) 
219,655000ATB,1,1,투베로정30/5밀리그램_(1정),fimasartan potassium trihydrate (as fimasartan potassium)
219,655000ATB,1,1,투베로정30/5밀리그램_(1정),rosuvastatin calcium (as rosuvastatin) 
219,661800ATB,10,10,로칸듀오정 5/8밀리그램_(1정),candesartan cilexetil
219,661800ATB,10,10,로칸듀오정 5/8밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,661900ATB,10,10,로칸듀오정10/8밀리그램_(1정),candesartan cilexetil
219,661900ATB,10,10,로칸듀오정10/8밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,662000ATB,10,10,콤비로칸정10/16밀리그램_(1정),candesartan cilexetil
219,662000ATB,10,10,콤비로칸정10/16밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,662100ATB,8,8,로칸듀오정20/32밀리그램_(1정),candesartan cilexetil
219,662100ATB,8,8,로칸듀오정20/32밀리그램_(1정),rosuvastatin calcium (as rosuvastatin)
219,663900ATB,1,1,"아모잘탄큐정5/50/5밀리그램(암로디핀,로사르탄,로수바스타틴)_(1정)",amlodipine camsylate (as amlodipine)
219,663900ATB,1,1,"아모잘탄큐정5/50/5밀리그램(암로디핀,로사르탄,로수바스타틴)_(1정)",losartan potassium (as losartan)
