substance_code,preferred_label_ko,preferred_label_en,atc_codes,representative_label
183611ATB,레보티록신나트륨수화물,levothyroxine sodium,H03AA01,레보티록신나트륨수화물
183610ATB,레보티록신나트륨수화물,nan,H03AA01,레보티록신나트륨수화물
183612ATB,레보티록신나트륨수화물,nan,,레보티록신나트륨수화물
183205ATB,레보플록사신수화물,levofloxacin,J01MA12,레보플록사신수화물
183230COS,레보플록사신수화물,levofloxacin,S01AE05,레보플록사신수화물
183233BIJ,레보플록사신수화물,levofloxacin,J01MA12,레보플록사신수화물
183234BIJ,레보플록사신수화물,levofloxacin,J01MA12,레보플록사신수화물
183235BIJ,레보플록사신수화물,levofloxacin,J01MA12,레보플록사신수화물
183241COS,레보플록사신수화물,levofloxacin,S01AE05,레보플록사신수화물
183244COS,레보플록사신수화물,levofloxacin,S01AE05,레보플록사신수화물
183201ATB,레보플록사신수화물,nan,J01MA12,레보플록사신수화물
183202ATB,레보플록사신수화물,nan,J01MA12,레보플록사신수화물
183203ATB,레보플록사신수화물,nan,J01MA12,레보플록사신수화물
183231COS,레보플록사신수화물,nan,S01AE05,레보플록사신수화물
183243COS,레보플록사신수화물,nan,S01AE05,레보플록사신수화물
183245COS,레보플록사신수화물,nan,,레보플록사신수화물
739701BIJ,레브리키주맙,nan,,레브리키주맙
488501ATB,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488501ATR,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488501BIJ,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488502ATB,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488503ATB,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488505ATB,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488505ATR,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488530ALQ,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488534BIJ,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488536ALQ,레비티라세탐,levetiracetam,N03AX14,레비티라세탐
488537ALQ,레비티라세탐,nan,,레비티라세탐
669801BIJ,레슬리주맙,reslizumab,R03DX08,레슬리주맙
695101ATB,레이저티닙메실산염일수화물,lazertinib,L01EB09,레이저티닙메실산염일수화물
676001ATB,레테르모비르,letermovir,J05AX18,레테르모비르
676001BIJ,레테르모비르,letermovir,J05AX18,레테르모비르
676002ATB,레테르모비르,letermovir,J05AX18,레테르모비르
676002BIJ,레테르모비르,letermovir,J05AX18,레테르모비르
182201ATB,레트로졸,nan,L02BG04,레트로졸
379501ATB,레파글리니드,repaglinide,A10BX02,레파글리니드
379502ATB,레파글리니드,repaglinide,A10BX02,레파글리니드
379503ATB,레파글리니드,repaglinide,A10BX02,레파글리니드
434601ATB,레플루노미드,nan,L04AK01,레플루노미드
434602ATB,레플루노미드,nan,L04AK01,레플루노미드
645201ACH,렌바티닙메실산염,lenvatinib,L01EX08,렌바티닙메실산염
645202ACH,렌바티닙메실산염,lenvatinib,L01EX08,렌바티닙메실산염
740601ACH,렌바티닙메실산염디메틸설폭시드,nan,,렌바티닙메실산염디메틸설폭시드
740602ACH,렌바티닙메실산염디메틸설폭시드,nan,,렌바티닙메실산염디메틸설폭시드
740603ACH,렌바티닙메실산염디메틸설폭시드,nan,,렌바티닙메실산염디메틸설폭시드
690801BIJ,렘데시비르,nan,,렘데시비르
185501ATB,로라제팜,lorazepam,N05BA06,로라제팜
185504ATB,로라제팜,lorazepam,N05BA06,로라제팜
185530BIJ,로라제팜,lorazepam,N05BA06,로라제팜
185531BIJ,로라제팜,lorazepam,N05BA06,로라제팜
185401ACS,로라타딘,loratadine,R06AX13,로라타딘
185430ASY,로라타딘,loratadine,R06AX13,로라타딘
185401ATB,로라타딘,nan,R06AX13,로라타딘
184901ATB,로메플록사신염산염,lomefloxacin,J01MA07,로메플록사신염산염
680701BIJ,"로모소주맙, 유전자재조합",nan,,"로모소주맙, 유전자재조합"
615401BIJ,로미플로스팀,romiplostim,B02BX04,로미플로스팀
185801ATB,로바스타틴,lovastatin,C10AA02,로바스타틴
525901ATB,로베글리타존황산염,lobeglitazone,A10BG04,로베글리타존황산염
709000ATB,"로사르탄,클로르탈리돈",losartan and diuretics,C09DA01,"로사르탄,클로르탈리돈"
709100ATB,"로사르탄,클로르탈리돈",losartan and diuretics,C09DA01,"로사르탄,클로르탈리돈"
721100ATB,"로사르탄,클로르탈리돈",losartan and diuretics,C09DA01,"로사르탄,클로르탈리돈"
185703ATB,로사르탄칼륨,losartan,C09CA01,로사르탄칼륨
185701ATB,로사르탄칼륨,nan,C09CA01,로사르탄칼륨
185702ATB,로사르탄칼륨,nan,C09CA01,로사르탄칼륨
673900ATB,"로수바스타틴, 암로디핀",nan,C10BX09,"로수바스타틴, 암로디핀"
674000ATB,"로수바스타틴, 암로디핀",nan,C10BX09,"로수바스타틴, 암로디핀"
674100ATB,"로수바스타틴, 암로디핀",nan,C10BX09,"로수바스타틴, 암로디핀"
734000ACS,"로수바스타틴,오메가3산에틸에스테르90",nan,,"로수바스타틴,오메가3산에틸에스테르90"
454001ATB,로수바스타틴칼슘,nan,C10AA07,로수바스타틴칼슘
454002ATB,로수바스타틴칼슘,nan,C10AA07,로수바스타틴칼슘
454003ATB,로수바스타틴칼슘,nan,C10AA07,로수바스타틴칼슘
454005ATB,로수바스타틴칼슘,nan,C10AA07,로수바스타틴칼슘
454001ATD,로수바스타틴칼슘(미분화,rosuvastatin,C10AA07,로수바스타틴칼슘(미분화
454002ATD,로수바스타틴칼슘(미분화,rosuvastatin,C10AA07,로수바스타틴칼슘(미분화
454003ATD,로수바스타틴칼슘(미분화,rosuvastatin,C10AA07,로수바스타틴칼슘(미분화
663400ACS,"로수바스타틴칼슘, 오메가-3-산에틸에스테르90",nan,C10BA07,"로수바스타틴칼슘, 오메가-3-산에틸에스테르90"
661800ATB,"로수바스타틴칼슘, 칸데사르탄실렉세틸",nan,C10BX,"로수바스타틴칼슘, 칸데사르탄실렉세틸"
661900ATB,"로수바스타틴칼슘, 칸데사르탄실렉세틸",nan,C10BX,"로수바스타틴칼슘, 칸데사르탄실렉세틸"
662000ATB,"로수바스타틴칼슘, 칸데사르탄실렉세틸",nan,C10BX,"로수바스타틴칼슘, 칸데사르탄실렉세틸"
662100ATB,"로수바스타틴칼슘, 칸데사르탄실렉세틸",nan,C10BX,"로수바스타틴칼슘, 칸데사르탄실렉세틸"
673700ATB,"로수바스타틴칼슘, 칸데사르탄실렉세틸",nan,C10BX,"로수바스타틴칼슘, 칸데사르탄실렉세틸"
224730BIJ,로쿠로늄브롬화물,rocuronium bromide,M03AC09,로쿠로늄브롬화물
224731BIJ,로쿠로늄브롬화물,rocuronium bromide,M03AC09,로쿠로늄브롬화물
568603COS,로테프레드놀에타보네이트,loteprednol,S01BA14,로테프레드놀에타보네이트
568605COS,로테프레드놀에타보네이트,loteprednol,S01BA14,로테프레드놀에타보네이트
185102ACH,로페라미드염산염,loperamide,A07DA03,로페라미드염산염
614701ATB,로플루밀라스트,roflumilast,R03DX07,로플루밀라스트
224901ATB,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
224902ATB,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
224902ATR,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
224903ATB,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
224904ATB,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
224905ATR,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
224906ATR,로피니롤염산염,ropinirole,N04BC04,로피니롤염산염
225031BIJ,로피바카인염산염,ropivacaine,N01BB09,로피바카인염산염
225033BIJ,로피바카인염산염수화물,ropivacaine,N01BB09,로피바카인염산염수화물
225201ACR,록사티딘아세테이트염산염,roxatidine,A02BA06,록사티딘아세테이트염산염
225201ATR,록사티딘아세테이트염산염,roxatidine,A02BA06,록사티딘아세테이트염산염
225202ACR,록사티딘아세테이트염산염,roxatidine,A02BA06,록사티딘아세테이트염산염
225202ATR,록사티딘아세테이트염산염,roxatidine,A02BA06,록사티딘아세테이트염산염
186102ATR,록소프로펜나트륨,Propionic acid derivatives,M01AE,록소프로펜나트륨
186101ATB,록소프로펜나트륨수화물,nan,M01AE,록소프로펜나트륨수화물
225301ATB,록시트로마이신,nan,J01FA06,록시트로마이신
225332ASS,록시트로마이신,roxithromycin,J01FA06,록시트로마이신
699701ATB,롤라티닙,lorlatinib,L01ED05,롤라티닙
699702ATB,롤라티닙,lorlatinib,L01ED05,롤라티닙
729801ATB,루라시돈염산염,nan,,루라시돈염산염
729802ATB,루라시돈염산염,nan,,루라시돈염산염
729803ATB,루라시돈염산염,nan,,루라시돈염산염
729804ATB,루라시돈염산염,nan,,루라시돈염산염
729805ATB,루라시돈염산염,nan,,루라시돈염산염
465001BIJ,루트로핀알파,lutropin alfa,G03GA07,루트로핀알파
659601ATB,루파타딘푸마르산염,rupatadine,R06AX28,루파타딘푸마르산염
509401ATB,루피나미드,rufinamide,N03AF03,루피나미드
509402ATB,루피나미드,rufinamide,N03AF03,루피나미드
509403ATB,루피나미드,rufinamide,N03AF03,루피나미드
623001ATB,룩소리티닙인산염,ruxolitinib,L01EJ01,룩소리티닙인산염
623002ATB,룩소리티닙인산염,ruxolitinib,L01EJ01,룩소리티닙인산염
623003ATB,룩소리티닙인산염,ruxolitinib,L01EJ01,룩소리티닙인산염
623004ATB,룩소리티닙인산염,ruxolitinib,L01EJ01,룩소리티닙인산염
182602BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
182604BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
182605BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
182606BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
182608BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
182611BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
182630BIJ,류프로렐린아세트산염,leuprorelin,L02AE02,류프로렐린아세트산염
616401ATB,리나글립틴,nan,A10BH05,리나글립틴
734900ATR,"리나글립틴, 메트포르민",nan,,"리나글립틴, 메트포르민"
735000ATR,"리나글립틴, 메트포르민",nan,,"리나글립틴, 메트포르민"
732700ATB,"리나글립틴,메트포르민",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민"
732800ATB,"리나글립틴,메트포르민",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민"
732900ATB,"리나글립틴,메트포르민",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민"
520500ATB,"리나글립틴,메트포르민염산염",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민염산염"
520600ATB,"리나글립틴,메트포르민염산염",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민염산염"
520700ATB,"리나글립틴,메트포르민염산염",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민염산염"
731900ATR,"리나글립틴,메트포르민염산염",metformin and linagliptin,A10BD11,"리나글립틴,메트포르민염산염"
731800ATR,"리나글립틴,메트포르민염산염",nan,A10BD11,"리나글립틴,메트포르민염산염"
732000ATR,"리나글립틴,메트포르민염산염",nan,A10BD11,"리나글립틴,메트포르민염산염"
732101ATB,리나글립틴베실산염,linagliptin,A10BH05,리나글립틴베실산염
412901ATB,리네졸리드,linezolid,J01XX08,리네졸리드
412903ATB,리네졸리드,linezolid,J01XX08,리네졸리드
412930BIJ,리네졸리드,linezolid,J01XX08,리네졸리드
183801CSI,리도카인,lidocaine,N01BB02,리도카인
183806CPO,리도카인,lidocaine,N01BB02,리도카인
183805CCM,리도카인,nan,N01BB02,리도카인
183902CCM,리도카인염산염수화물,lidocaine,N01BB02,리도카인염산염수화물
183934CLQ,리도카인염산염수화물,lidocaine,R02AD02,리도카인염산염수화물
183936BIJ,리도카인염산염수화물,lidocaine,N01BB02,리도카인염산염수화물
183938CLQ,리도카인염산염수화물,nan,R02AD02,리도카인염산염수화물
224001ATB,리루졸,riluzole,N07XX02,리루졸
224030ASS,리루졸,riluzole,N07XX02,리루졸
184101ATB,리마프로스트알파덱스,nan,B01AC28,리마프로스트알파덱스
511401ATB,리바록사반,nan,B01AF01,리바록사반
511402ATB,리바록사반,nan,B01AF01,리바록사반
511403ATB,리바록사반,nan,B01AF01,리바록사반
511404ACH,리바록사반,rivaroxaban,B01AF01,리바록사반
511404ATB,리바록사반,rivaroxaban,B01AF01,리바록사반
223601ACH,리바비린,ribavirin,J05AP01,리바비린
223604ACH,리바비린,ribavirin,J05AP01,리바비린
224506CPC,리바스티그민,rivastigmine,N06DA03,리바스티그민
224507CPC,리바스티그민,rivastigmine,N06DA03,리바스티그민
224508CPC,리바스티그민,rivastigmine,N06DA03,리바스티그민
224501ACH,리바스티그민타르타르산염,rivastigmine,N06DA03,리바스티그민타르타르산염
224503ACH,리바스티그민타르타르산염,rivastigmine,N06DA03,리바스티그민타르타르산염
224504ACH,리바스티그민타르타르산염,rivastigmine,N06DA03,리바스티그민타르타르산염
224505ACH,리바스티그민타르타르산염,rivastigmine,N06DA03,리바스티그민타르타르산염
684201ATB,리보시클립숙신산염,ribociclib,L01EF02,리보시클립숙신산염
686202BIJ,"리산키주맙, 유전자재조합",risankizumab,L04AC18,"리산키주맙, 유전자재조합"
686201BIJ,"리산키주맙,유전자재조합",risankizumab,L04AC18,"리산키주맙,유전자재조합"
518400ATB,"리세드론산,콜레칼시페롤",risedronic acid and colecalciferol,M05BB07,"리세드론산,콜레칼시페롤"
442302ATB,리세드론산나트륨,nan,M05BA07,리세드론산나트륨
442330ATB,리세드론산나트륨2.5수화물,nan,M05BA07,리세드론산나트륨2.5수화물
442302ATE,리세드론산나트륨2.5수화물,risedronic acid,M05BA07,리세드론산나트륨2.5수화물
724001ASY,리스디플람,risdiplam,M09AX10,리스디플람
224201ATB,리스페리돈,risperidone,N05AX08,리스페리돈
224201ATD,리스페리돈,risperidone,N05AX08,리스페리돈
224202ATB,리스페리돈,risperidone,N05AX08,리스페리돈
224202ATD,리스페리돈,risperidone,N05AX08,리스페리돈
224203ATB,리스페리돈,risperidone,N05AX08,리스페리돈
224204ATB,리스페리돈,risperidone,N05AX08,리스페리돈
184501ATB,리시노프릴,lisinopril,C09AA03,리시노프릴
627601ATB,리오시구앗,nan,,리오시구앗
627602ATB,리오시구앗,nan,,리오시구앗
627603ATB,리오시구앗,nan,,리오시구앗
627604ATB,리오시구앗,nan,,리오시구앗
627605ATB,리오시구앗,nan,,리오시구앗
224401ATB,리토나비르,ritonavir,J05AE03,리토나비르
422630BIJ,리툭시맙,nan,L01FA01,리툭시맙
422631BIJ,리툭시맙,nan,L01FA01,리툭시맙
422603BIJ,리툭시맙,rituximab,L01FA01,리툭시맙
364401ACH,리파부틴,rifabutin,J04AB04,리파부틴
452001ATB,리팍시민,rifaximin,A07AA11,리팍시민
223901ACH,리팜피신,rifampicin,J04AB02,리팜피신
223902ACH,리팜피신,rifampicin,J04AB02,리팜피신
223902ATB,리팜피신,rifampicin,J04AB02,리팜피신
223903ATB,리팜피신,rifampicin,J04AB02,리팜피신
223904ATB,리팜피신,rifampicin,J04AB02,리팜피신
684901BIJ,리페그필그라스팀,lipegfilgrastim,L03AA14,리페그필그라스팀
149431BIJ,리포좀화한독소루비신염산염,doxorubicin,L01DB01,리포좀화한독소루비신염산염
149435BIJ,리포좀화한독소루비신염산염,doxorubicin,L01DB01,리포좀화한독소루비신염산염
643700CSI,리필용,olodaterol and tiotropium bromide,R03AL06,리필용
184201ACH,린코마이신염산염수화물,lincomycin,J01FF02,린코마이신염산염수화물
184203ACH,린코마이신염산염수화물,lincomycin,J01FF02,린코마이신염산염수화물
184231BIJ,린코마이신염산염수화물,lincomycin,J01FF02,린코마이신염산염수화물
740201BIJ,릴피비린,nan,,릴피비린
617801ATB,릴피비린염산염,rilpivirine,J05AG05,릴피비린염산염
188001ATB,마니디핀염산염,manidipine,C08CA11,마니디핀염산염
188002ATB,마니디핀염산염,manidipine,C08CA11,마니디핀염산염
716701ATB,마리바비르,maribavir,J05AX10,마리바비르
721501ACH,마바캄텐,nan,,마바캄텐
721502ACH,마바캄텐,nan,,마바캄텐
721503ACH,마바캄텐,nan,,마바캄텐
721504ACH,마바캄텐,nan,,마바캄텐
632201ATB,마시텐탄,macitentan,C02KX04,마시텐탄
186933CCM,마페니드아세트산염,mafenide,D06BA03,마페니드아세트산염
183302ATB,말레인산레보메프로마진,levomepromazine,N05AA02,말레인산레보메프로마진
189301ATB,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
189302ATB,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
189303ASS,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
189304ASS,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
189330ASS,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
189331ASS,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
189335ASS,메게스트롤아세테이트,megestrol,L02AB01,메게스트롤아세테이트
190201BIJ,메노트로핀,human menopausal gonadotrophin,G03GA02,메노트로핀
190202BIJ,메노트로핀,human menopausal gonadotrophin,G03GA02,메노트로핀
621601BIJ,메노트로핀에이치피,human menopausal gonadotrophin,G03GA02,메노트로핀에이치피
621603BIJ,메노트로핀에이치피,human menopausal gonadotrophin,G03GA02,메노트로핀에이치피
188903ATB,메드록시프로게스테론아세테이트,medroxyprogesterone,G03DA02,메드록시프로게스테론아세테이트
188905ATB,메드록시프로게스테론아세테이트,medroxyprogesterone,L02AB02,메드록시프로게스테론아세테이트
188906ATB,메드록시프로게스테론아세테이트,medroxyprogesterone,G03DA02,메드록시프로게스테론아세테이트
188801BIJ,메드론산,technetium (99mTc) medronic acid,V09BA02,메드론산
190704BIJ,메로페넴삼수화물,meropenem,J01DH02,메로페넴삼수화물
190702BIJ,메로페넴수화물,nan,J01DH02,메로페넴수화물
190703BIJ,메로페넴수화물,nan,J01DH02,메로페넴수화물
190601ATB,메르캅토푸린수화물,mercaptopurine,L01BB02,메르캅토푸린수화물
190003ATD,메만틴염산염,memantine,N06DX01,메만틴염산염
190004ATD,메만틴염산염,memantine,N06DX01,메만틴염산염
190006ATD,메만틴염산염,memantine,N06DX01,메만틴염산염
190031ALQ,메만틴염산염,memantine,N06DX01,메만틴염산염
190001ATB,메만틴염산염,nan,N06DX01,메만틴염산염
190004ATB,메만틴염산염,nan,N06DX01,메만틴염산염
190005ATB,메만틴염산염,nan,N06DX01,메만틴염산염
490201BIJ,메브로페닌,nan,,메브로페닌
190802AGR,메살라진,mesalazine,A07EC02,메살라진
190802ATR,메살라진,mesalazine,A07EC02,메살라진
190802CSP,메살라진,mesalazine,A07EC02,메살라진
190803ATR,메살라진,mesalazine,A07EC02,메살라진
190803CSP,메살라진,mesalazine,A07EC02,메살라진
190806AGR,메살라진,mesalazine,A07EC02,메살라진
190808ATR,메살라진,mesalazine,A07EC02,메살라진
190811ATR,메살라진,mesalazine,A07EC02,메살라진
190812ATR,메살라진,mesalazine,A07EC02,메살라진
190832CLQ,메살라진,mesalazine,A07EC02,메살라진
190930BIJ,메스나,mesna,V03AF01,메스나
470802ATB,메실산암로디핀일수화물,amlodipine,C08CA01,메실산암로디핀일수화물
188601ACH,메코발라민,mecobalamin,B03BA05,메코발라민
188602ACH,메코발라민,mecobalamin,B03BA05,메코발라민
188602ATB,메코발라민,mecobalamin,B03BA05,메코발라민
190502ATB,메퀴타진,mequitazine,R06AD07,메퀴타진
190532ASY,메퀴타진,mequitazine,R06AD07,메퀴타진
191201ATB,메타독신,metadoxine,A05BA09,메타독신
442901ATB,메탄설폰산제미플록사신,gemifloxacin,J01MA15,메탄설폰산제미플록사신
192030BIJ,메토카르바몰,methocarbamol,M03BA03,메토카르바몰
192031BIJ,메토카르바몰,methocarbamol,M03BA03,메토카르바몰
193701ATB,메토클로프라미드,metoclopramide,A03FA01,메토클로프라미드
193730BIJ,메토클로프라미드염산염수화물,metoclopramide,A03FA01,메토클로프라미드염산염수화물
192136BIJ,메토트렉세이트,methotrexate,L04AX03,메토트렉세이트
192139BIJ,메토트렉세이트,methotrexate,L01BA01,메토트렉세이트
192141BIJ,메토트렉세이트,methotrexate,L01BA01,메토트렉세이트
192144BIJ,메토트렉세이트,methotrexate,L04AX03,메토트렉세이트
192132BIJ,메토트렉세이트,nan,,메토트렉세이트
192134BIJ,메토트렉세이트,nan,,메토트렉세이트
193802ATB,메토프롤롤타르타르산염,metoprolol,C07AB02,메토프롤롤타르타르산염
504303BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504305BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504306BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504307BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504308BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504309BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504310BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
504311BIJ,메톡시폴리에칠렌 글리콜-에포에틴 베타,methoxy polyethylene glycol-epoetin beta,B03XA03,메톡시폴리에칠렌 글리콜-에포에틴 베타
194101ATB,메트로니다졸,metronidazole,P01AB01,메트로니다졸
194131BIJ,메트로니다졸,metronidazole,J01XD01,메트로니다졸
194130CCM,메트로니다졸,nan,,메트로니다졸
194132CCM,메트로니다졸,nan,D06BX01,메트로니다졸
191501ATB,메트포르민염산염,metformin,A10BA02,메트포르민염산염
191503ATB,메트포르민염산염,metformin,A10BA02,메트포르민염산염
191503ATR,메트포르민염산염,metformin,A10BA02,메트포르민염산염
191504ATB,메트포르민염산염,metformin,A10BA02,메트포르민염산염
191504ATR,메트포르민염산염,metformin,A10BA02,메트포르민염산염
191505ATR,메트포르민염산염,metformin,A10BA02,메트포르민염산염
191502ATB,메트포르민염산염,nan,A10BA02,메트포르민염산염
191502ATR,메트포르민염산염,nan,A10BA02,메트포르민염산염
191801ATB,메티마졸,thiamazole,H03BB02,메티마졸
191803ATB,메티마졸,thiamazole,H03BB02,메티마졸
192401ATB,"메틸-N,S-디아세틸시스테인",Mucolytics,R05CB,"메틸-N,S-디아세틸시스테인"
193030BIJ,메틸에르고메트린말레산염,methylergometrine,G02AB01,메틸에르고메트린말레산염
193101ACH,메틸올세팔렉신리시네이트,cefalexin,J01DB01,메틸올세팔렉신리시네이트
193101ATB,메틸올세팔렉신리시네이트,cefalexin,J01DB01,메틸올세팔렉신리시네이트
193201ACR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193201ATB,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193202ACR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193202ATB,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193203ATR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193204ATR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193205ACR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193206ATR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193207ACR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193208ACR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193209ATR,메틸페니데이트염산염,methylphenidate,N06BA04,메틸페니데이트염산염
193304ATB,메틸프레드니솔론,methylprednisolone,H02AB04,메틸프레드니솔론
193305ATB,메틸프레드니솔론,methylprednisolone,H02AB04,메틸프레드니솔론
193302ATB,메틸프레드니솔론,nan,H02AB04,메틸프레드니솔론
193601BIJ,메틸프레드니솔론숙시네이트나트륨,methylprednisolone,H02AB04,메틸프레드니솔론숙시네이트나트륨
193603BIJ,메틸프레드니솔론숙시네이트나트륨,methylprednisolone,H02AB04,메틸프레드니솔론숙시네이트나트륨
193604BIJ,메틸프레드니솔론숙시네이트나트륨,methylprednisolone,H02AB04,메틸프레드니솔론숙시네이트나트륨
193433CCM,메틸프레드니솔론아세포네이트,methylprednisolone aceponate,D07AC14,메틸프레드니솔론아세포네이트
193433COM,메틸프레드니솔론아세포네이트,methylprednisolone aceponate,D07AC14,메틸프레드니솔론아세포네이트
193434CLT,메틸프레드니솔론아세폰산염,methylprednisolone aceponate,D07AC14,메틸프레드니솔론아세폰산염
193435CLT,메틸프레드니솔론아세폰산염,methylprednisolone aceponate,D07AC14,메틸프레드니솔론아세폰산염
193438CLT,메틸프레드니솔론아세폰산염,methylprednisolone aceponate,D07AC14,메틸프레드니솔론아세폰산염
651201BIJ,"메폴리주맙,유전자재조합",mepolizumab,R03DX09,"메폴리주맙,유전자재조합"
189101ATB,메플로퀸염산염,nan,,메플로퀸염산염
190431BIJ,메피바카인염산염,mepivacaine,N01BB03,메피바카인염산염
189701ATD,멜로시캄,meloxicam,M01AC06,멜로시캄
189702ATD,멜로시캄,nan,,멜로시캄
189701ATB,멜록시캄,meloxicam,M01AC06,멜록시캄
189702ACH,멜록시캄,meloxicam,M01AC06,멜록시캄
189701ACH,멜록시캄,nan,M01AC06,멜록시캄
189901ATB,멜팔란,melphalan,L01AA03,멜팔란
189902BIJ,멜팔란염산염,nan,,멜팔란염산염
713401BIJ,모가물리주맙,mogamulizumab,L01FX09,모가물리주맙
458402ATB,모니플루메이트,morniflumate,M01AX22,모니플루메이트
439502ATB,모다피닐,modafinil,N06BA07,모다피닐
486601BIJ,모록토코그알파,coagulation factor VIII,B02BD02,모록토코그알파
486602BIJ,모록토코그알파,coagulation factor VIII,B02BD02,모록토코그알파
486603BIJ,모록토코그알파,coagulation factor VIII,B02BD02,모록토코그알파
486604BIJ,모록토코그알파,coagulation factor VIII,B02BD02,모록토코그알파
486605BIJ,모록토코그알파,coagulation factor VIII,B02BD02,모록토코그알파
197231BIJ,모르핀염산염수화물,morphine,N02AA01,모르핀염산염수화물
197302ATR,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197305ATB,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197331BIJ,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197332BIJ,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197334BIJ,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197335BIJ,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197336BIJ,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
197339BIJ,모르핀황산염수화물,morphine,N02AA01,모르핀황산염수화물
361308CSI,모메타손푸로에이트,mometasone,R01AD09,모메타손푸로에이트
361332CCM,모메타손푸로에이트,mometasone,D07AC13,모메타손푸로에이트
361336CCM,모메타손푸로에이트,mometasone,D07AC13,모메타손푸로에이트
361338CCM,모메타손푸로에이트,mometasone,D07AC13,모메타손푸로에이트
361339CLT,모메타손푸로에이트,mometasone,D07AC13,모메타손푸로에이트
